+,x,a,e,i,u,o,N,
x,xx,xa,xe,xi,xu,xo,
y,xy,ya,ye,yi,yu,yo,
v,xv,va,ve,vi,vu,vo,
l,xl,la,le,li,lu,lo,
m,xm,ma,me,mi,mu,mo,
n,xn,na,ne,ni,nu,no,
p,xp,pa,pe,pi,pu,po,
f,xf,fa,fe,fi,fu,fo,
k,xk,ka,ke,ki,ku,ko,Nk,
K,xK,Ka,Ke,Ki,Ku,Ko,NK,
g,xg,ga,ge,gi,gu,go,Ng,
G,xG,Ga,Ge,Gi,Gu,Go,NG,
c,xc,ca,ce,ci,cu,co,
C,xC,Ca,Ce,Ci,Cu,Co,
z,xz,za,ze,zi,zu,zo,
Z,xZ,Za,Ze,Zi,Zu,Zo,
t,xt,ta,te,ti,tu,to,
T,xT,Ta,Te,Ti,Tu,To,
j,xj,ja,je,ji,ju,jo,
J,xJ,Ja,Je,Ji,Ju,Jo,
q,xq,qa,qe,qi,qu,qo,
Q,xQ,Qa,Qe,Qi,Qu,Qo,
b,xb,ba,be,bi,bu,bo,
B,xB,Ba,Be,Bi,Bu,Bo,
r,xr,ra,re,ri,ru,ro,
R,xR,Ra,Re,Ri,Ru,Ro,
