category,source,target,notes
Swar,अ/इ/ई/उ/ऊ/ए/ऐ/ओ/औ,x/_i/i/_u/u/e/e/o/ou
Swar (vowel),अं,xN,
Swar (vowel),अः,x,
Vyanjan (consonant),क,k,
Vyanjan (consonant),ख,K,
Vyanjan (consonant),ग,g,
Vyanjan (consonant),घ,G,
Vyanjan (consonant),ङ,R,
Vyanjan (consonant),च,c,
Vyanjan (consonant),छ,C,
Vyanjan (consonant),ज,z,
Vyanjan (consonant),झ,Z,
Vyanjan (consonant),ञ,n,
Vyanjan (consonant),ट,t,
Vyanjan (consonant),ठ,T,
Vyanjan (consonant),ड,d,
Vyanjan (consonant),ढ,D,
Vyanjan (consonant),ण,n,
Vyanjan (consonant),त,j,
Vyanjan (consonant),थ,J,
Vyanjan (consonant),द,q,
Vyanjan (consonant),ध,Q,
Vyanjan (consonant),न,n,
Vyanjan (consonant),प,p,
Vyanjan (consonant),फ,f,
Vyanjan (consonant),ब,b,
Vyanjan (consonant),भ,B,
Vyanjan (consonant),म,m,
Vyanjan (consonant),य,y,
Vyanjan (consonant),र,r,
Vyanjan (consonant),ल,l,
Vyanjan (consonant),व,w,
Vyanjan (consonant),श,S,
Vyanjan (consonant),ष,s,
Vyanjan (consonant),स,s,
Vyanjan (consonant),ह,v,
Vyanjan (consonant),क्ष,S,
Vyanjan (consonant),त्र,jr,
Vyanjan (consonant),ज्ञ,gy,
Matra (vowel sign),ा,a,
Matra (vowel sign),ि,i,
Matra (vowel sign),ी,i,
Matra (vowel sign),ु,u,
Matra (vowel sign),ू,u,
Matra (vowel sign),ृ,ri,
Matra (vowel sign),े,e,
Matra (vowel sign),ै,xi,
Matra (vowel sign),ो,o,
Matra (vowel sign),ौ,ou,
Matra (vowel sign),ं,N,
Matra (vowel sign),ः,x,
Matra (vowel sign),ँ,(skip),no mapping
