category,source,target,notes
Swar,अ/इ/ई/उ/ऊ/ए/ऐ/ओ/औ,x/i/i/u/u/e/e/o/ou
Swar (vowel),अं,xN,
Swar (vowel),अः,x,
Vyanjan (consonant),क,k,
Vyanjan (consonant),ख,K,
Vyanjan (consonant),ग,g,
Vyanjan (consonant),घ,G,
Vyanjan (consonant),ङ,R,
Vyanjan (consonant),च,c,
Vyanjan (consonant),छ,C,
Vyanjan (consonant),ज,z,
Vyanjan (consonant),झ,Z,
Vyanjan (consonant),ञ,n,
Vyanjan (consonant),ट,t,
Vyanjan (consonant),ठ,T,
Vyanjan (consonant),ड,d,
Vyanjan (consonant),ढ,D,
Vyanjan (consonant),ण,n,
Vyanjan (consonant),त,j,
Vyanjan (consonant),थ,J,
Vyanjan (consonant),द,q,
Vyanjan (consonant),ध,Q,
Vyanjan (consonant),न,n,
Vyanjan (consonant),प,p,
Vyanjan (consonant),फ,f,
Vyanjan (consonant),ब,b,
Vyanjan (consonant),भ,B,
Vyanjan (consonant),म,m,
Vyanjan (consonant),य,y,
Vyanjan (consonant),र,r,
Vyanjan (consonant),ल,l,
Vyanjan (consonant),व,w,
Vyanjan (consonant),श,S,
Vyanjan (consonant),ष,s,
Vyanjan (consonant),स,s,
Vyanjan (consonant),ह,v,
Vyanjan (consonant),क्ष,S,
Vyanjan (consonant),त्र,jr,
Vyanjan (consonant),ज्ञ,gy,
Matra (vowel sign),ा,a,
Matra (vowel sign),ि,i,
Matra (vowel sign),ी,i,
Matra (vowel sign),ु,u,
Matra (vowel sign),ू,u,
Matra (vowel sign),ृ,ri,
Matra (vowel sign),े,e,
Matra (vowel sign),ै,xi,
Matra (vowel sign),ो,o,
Matra (vowel sign),ौ,ou,
Matra (vowel sign),ं,N,
Matra (vowel sign),ः,x,
Matra (vowel sign),ँ,(skip),no mapping
Common Hindi word,और,or,
Common Hindi word,है,v,
Common Hindi word,नहीं,nvi,
Common Hindi word,यह,yv,
Common Hindi word,वह,wv,
Common Hindi word,कि,ki,
Common Hindi word,से,se,
Common Hindi word,को,ko,
Common Hindi word,पर,pr,
Common Hindi word,इस,is,
Common Hindi word,उस,us,
Common Hindi word,में,me,
Common Hindi word,एक,ek,
Common Hindi word,भी,Bi,
Common Hindi word,कर,kr,
Common Hindi word,था,Ja,
Common Hindi word,हो,vo,
Common Hindi word,गया,gya,
Common Hindi word,लिए,lie,
Common Hindi word,अपने,xpne,
Common Hindi word,कुछ,kuC,
Common Hindi word,बहुत,bvuj,
Common Hindi word,अभी,xBi,
Common Hindi word,रहा,rha,
Common Hindi word,हूँ,vu,
English rule,capitalization,none - all lowercase,no auto-capitalization ever
English rule,letter j,z,e.g. request-related words
English rule,letter q,k,
English rule,letter w,v,
English rule,letter x (mid/final -ks sound),ks,e.g. six -> siks
English rule,letter x (eks- prefix sound),xks,e.g. x-ray -> xksre
English rule,letter x (z sound),z,e.g. xylophone -> zailofon
English rule,article a/an/the,(skip),no mapping - dropped entirely
English rule,*tion ending,*sn,e.g. translation -> translesn
English word,request,rikyuxst,exception - not letter-substituted
English word,gave,gew,
