Row 2: e52=a | vinqi=है | pnzabi=হৈ | guzraji=হৈ | xg38=vxi
Row 3: e52=abandon | vinqi=संन्यास | pnzabi=সংন্যাস | guzraji=সংন্যাস | xg38=snnyas
Row 4: e52=ability | vinqi=योग्यता | pnzabi=যোগ্যতা | guzraji=যোগ্যতা | xg38=yogyja
Row 5: e52=able | vinqi=काबिल | pnzabi=কাবিল | guzraji=কাবিল | xg38=kabil
Row 6: e52=abortion | vinqi=गर्भपात | pnzabi=গর্ভপাত | guzraji=গর্ভপাত | xg38=grBpaj
Row 7: e52=about | vinqi=के बारे में | pnzabi=কে বারে মেং | guzraji=কে বারে মেং | xg38=ke bare me
Row 8: e52=above | vinqi=के ऊपर | pnzabi=কে ঊপর | guzraji=কে ঊপর | xg38=ke upr
Row 9: e52=abroad | vinqi=विदेशी | pnzabi=঵িদেশী | guzraji=঵িদেশী | xg38=wiqeSi
Row 10: e52=absence | vinqi=अनुपस्थिति | pnzabi=অনুপস্থিতি | guzraji=অনুপস্থিতি | xg38=xnupsJiji
Row 11: e52=absolute | vinqi=शुद्ध | pnzabi=শুদ্ধ | guzraji=শুদ্ধ | xg38=SuqQ
Row 12: e52=absolutely | vinqi=बिल्कुल | pnzabi=বিল্কুল | guzraji=বিল্কুল | xg38=bilkul
Row 13: e52=absorb | vinqi=सोख लेना | pnzabi=সোখ লেনা | guzraji=সোখ লেনা | xg38=soK lena
Row 14: e52=abuse | vinqi=गाली देना | pnzabi=গালী দেনা | guzraji=গালী দেনা | xg38=gali qena
Row 15: e52=academic | vinqi=शैक्षिक | pnzabi=শৈক্ষিক | guzraji=শৈক্ষিক | xg38=SxiSik
Row 16: e52=accept | vinqi=मानना | pnzabi=মাননা | guzraji=মাননা | xg38=manna
Row 17: e52=access | vinqi=पहुँच | pnzabi=পহুঁচ | guzraji=পহুঁচ | xg38=pvunc
Row 18: e52=accident | vinqi=दुर्घटना | pnzabi=দুর্ঘটনা | guzraji=দুর্ঘটনা | xg38=qurGtna
Row 19: e52=accompany | vinqi=साथ | pnzabi=সাথ | guzraji=সাথ | xg38=saJ
Row 20: e52=accomplish | vinqi=पूरा करना | pnzabi=পূরা করনা | guzraji=পূরা করনা | xg38=pura krna
Row 21: e52=according | vinqi=अनुसार | pnzabi=অনুসার | guzraji=অনুসার | xg38=xnusar
Row 22: e52=account | vinqi=खाता | pnzabi=খাতা | guzraji=খাতা | xg38=Kaja
Row 23: e52=accurate | vinqi=सटीक | pnzabi=সটীক | guzraji=সটীক | xg38=stik
Row 24: e52=accuse | vinqi=दोषी | pnzabi=দোষী | guzraji=দোষী | xg38=qosi
Row 25: e52=achieve | vinqi=प्राप्त करना | pnzabi=প্রাপ্ত করনা | guzraji=প্রাপ্ত করনা | xg38=prapj krna
Row 26: e52=achievement | vinqi=उपलब्धि | pnzabi=উপলব্ধি | guzraji=উপলব্ধি | xg38=uplbQi
Row 27: e52=acid | vinqi=खट्टा | pnzabi=খট্টা | guzraji=খট্টা | xg38=Ktta
Row 28: e52=acknowledge | vinqi=स्वीकार करना | pnzabi=স্঵ীকার করনা | guzraji=স্঵ীকার করনা | xg38=swikar krna
Row 29: e52=acquire | vinqi=अधिग्रहण करना | pnzabi=অধিগ্রহণ করনা | guzraji=অধিগ্রহণ করনা | xg38=xQigrvn krna
Row 30: e52=across | vinqi=आर–पार | pnzabi=আর–পার | guzraji=আর–পার | xg38=xar–par
Row 31: e52=act | vinqi=कार्यवाही करना | pnzabi=কার্য঵াহী করনা | guzraji=কার্য঵াহী করনা | xg38=karywavi krna
Row 32: e52=action | vinqi=भण्डार | pnzabi=ভণ্ডার | guzraji=ভণ্ডার | xg38=Bndar
Row 33: e52=active | vinqi=सक्रिय | pnzabi=সক্রিয | guzraji=সক্রিয | xg38=skriy
Row 34: e52=activist | vinqi=कार्यकर्ता | pnzabi=কার্যকর্তা | guzraji=কার্যকর্তা | xg38=karykrja
Row 35: e52=activity | vinqi=गतिविधि | pnzabi=গতি঵িধি | guzraji=গতি঵িধি | xg38=gjiwiQi
Row 36: e52=actor | vinqi=अभिनेता | pnzabi=অভিনেতা | guzraji=অভিনেতা | xg38=xBineja
Row 37: e52=actress | vinqi=अभिनेत्री | pnzabi=অভিনেত্রী | guzraji=অভিনেত্রী | xg38=xBinejri
Row 38: e52=actual | vinqi=वर्तमान | pnzabi=঵র্তমান | guzraji=঵র্তমান | xg38=wrjman
Row 39: e52=actually | vinqi=वास्तव में | pnzabi=঵াস্ত঵ মেং | guzraji=঵াস্ত঵ মেং | xg38=wasjw me
Row 40: e52=ad | vinqi=विज्ञापन | pnzabi=঵িজ্ঞাপন | guzraji=঵িজ্ঞাপন | xg38=wigyapn
Row 41: e52=adapt | vinqi=अनुकूल बनाना | pnzabi=অনুকূল বনানা | guzraji=অনুকূল বনানা | xg38=xnukul bnana
Row 42: e52=add | vinqi=जोड़ें | pnzabi=জোড়েং | guzraji=জোড়েং | xg38=zoRe
Row 43: e52=addition | vinqi=योग | pnzabi=যোগ | guzraji=যোগ | xg38=yog
Row 44: e52=additional | vinqi=अतिरिक्त | pnzabi=অতিরিক্ত | guzraji=অতিরিক্ত | xg38=xjirikj
Row 45: e52=address | vinqi=पता | pnzabi=পতা | guzraji=পতা | xg38=pja
Row 46: e52=adequate | vinqi=पर्याप्त | pnzabi=পর্যাপ্ত | guzraji=পর্যাপ্ত | xg38=pryapj
Row 47: e52=adjust | vinqi=समायोजित करना | pnzabi=সমাযোজিত করনা | guzraji=সমাযোজিত করনা | xg38=smayozij krna
Row 48: e52=adjustment | vinqi=समायोजन | pnzabi=সমাযোজন | guzraji=সমাযোজন | xg38=smayozn
Row 49: e52=administration | vinqi=प्रशासन | pnzabi=প্রশাসন | guzraji=প্রশাসন | xg38=prSasn
Row 50: e52=administrator | vinqi=प्रशासक | pnzabi=প্রশাসক | guzraji=প্রশাসক | xg38=prSask
Row 51: e52=admire | vinqi=प्रशंसा करना | pnzabi=প্রশংসা করনা | guzraji=প্রশংসা করনা | xg38=prSnsa krna
Row 52: e52=admission | vinqi=प्रवेश | pnzabi=প্র঵েশ | guzraji=প্র঵েশ | xg38=prweS
Row 53: e52=admit | vinqi=स्वीकार किया | pnzabi=স্঵ীকার কিযা | guzraji=স্঵ীকার কিযা | xg38=swikar kiya
Row 54: e52=adolescent | vinqi=किशोर | pnzabi=কিশোর | guzraji=কিশোর | xg38=kiSor
Row 55: e52=adopt | vinqi=मुह बोली बहन | pnzabi=মুহ বোলী বহন | guzraji=মুহ বোলী বহন | xg38=muv boli bvn
Row 56: e52=adult | vinqi=वयस्क | pnzabi=঵যস্ক | guzraji=঵যস্ক | xg38=wysk
Row 57: e52=advance | vinqi=आगे | pnzabi=আগে | guzraji=আগে | xg38=xage
Row 58: e52=advanced | vinqi=विकसित | pnzabi=঵িকসিত | guzraji=঵িকসিত | xg38=wiksij
Row 59: e52=advantage | vinqi=फायदा | pnzabi=ফাযদা | guzraji=ফাযদা | xg38=fayqa
Row 60: e52=adventure | vinqi=साहसिक काम | pnzabi=সাহসিক কাম | guzraji=সাহসিক কাম | xg38=savsik kam
Row 61: e52=advertising | vinqi=विज्ञापन देना | pnzabi=঵িজ্ঞাপন দেনা | guzraji=঵িজ্ঞাপন দেনা | xg38=wigyapn qena
Row 62: e52=advice | vinqi=सलाह | pnzabi=সলাহ | guzraji=সলাহ | xg38=slav
Row 63: e52=advise | vinqi=सलाह देना | pnzabi=সলাহ দেনা | guzraji=সলাহ দেনা | xg38=slav qena
Row 64: e52=adviser | vinqi=सलाहकार | pnzabi=সলাহকার | guzraji=সলাহকার | xg38=slavkar
Row 65: e52=advocate | vinqi=वकील | pnzabi=঵কীল | guzraji=঵কীল | xg38=wkil
Row 66: e52=affair | vinqi=चक्कर | pnzabi=চক্কর | guzraji=চক্কর | xg38=ckkr
Row 67: e52=affect | vinqi=प्रभावित करना | pnzabi=প্রভা঵িত করনা | guzraji=প্রভা঵িত করনা | xg38=prBawij krna
Row 68: e52=afford | vinqi=खर्च वहन करना | pnzabi=খর্চ ঵হন করনা | guzraji=খর্চ ঵হন করনা | xg38=Krc wvn krna
Row 69: e52=afraid | vinqi=डरा हुआ | pnzabi=ডরা হুআ | guzraji=ডরা হুআ | xg38=dra vuxa
Row 70: e52=african | vinqi=अफ़्रीकी | pnzabi=অফ়্রীকী | guzraji=অফ়্রীকী | xg38=xfriki
Row 71: e52=african-american | vinqi=अफ्रीकी अमेरिकी | pnzabi=অফ্রীকী অমেরিকী | guzraji=অফ্রীকী অমেরিকী | xg38=xfriki xmeriki
Row 72: e52=after | vinqi=बाद में | pnzabi=বাদ মেং | guzraji=বাদ মেং | xg38=baq me
Row 73: e52=afternoon | vinqi=दोपहर बाद | pnzabi=দোপহর বাদ | guzraji=দোপহর বাদ | xg38=qopvr baq
Row 74: e52=again | vinqi=फिर से | pnzabi=ফির সে | guzraji=ফির সে | xg38=fir se
Row 75: e52=against | vinqi=के खिलाफ | pnzabi=কে খিলাফ | guzraji=কে খিলাফ | xg38=ke Kilaf
Row 76: e52=age | vinqi=आयु | pnzabi=আযু | guzraji=আযু | xg38=xayu
Row 77: e52=agency | vinqi=एजेंसी | pnzabi=এজেংসী | guzraji=এজেংসী | xg38=ezensi
Row 78: e52=agenda | vinqi=डायरी | pnzabi=ডাযরী | guzraji=ডাযরী | xg38=dayri
Row 79: e52=agent | vinqi=प्रतिनिधि | pnzabi=প্রতিনিধি | guzraji=প্রতিনিধি | xg38=prjiniQi
Row 80: e52=aggressive | vinqi=आक्रामक | pnzabi=আক্রামক | guzraji=আক্রামক | xg38=xakramk
Row 81: e52=ago | vinqi=पहले | pnzabi=পহলে | guzraji=পহলে | xg38=pvle
Row 82: e52=agree | vinqi=सहमत होना | pnzabi=সহমত হোনা | guzraji=সহমত হোনা | xg38=svmj vona
Row 83: e52=agreement | vinqi=समझौता | pnzabi=সমঝৌতা | guzraji=সমঝৌতা | xg38=smZouja
Row 84: e52=agricultural | vinqi=कृषि | pnzabi=কৃষি | guzraji=কৃষি | xg38=krsi
Row 85: e52=ah | vinqi=एएच | pnzabi=এএচ | guzraji=এএচ | xg38=eec
