e52,e23,x38,xv38,vinqi
THE,the,the,,
OF,of,of,,का
AND,and,and,,और
TO,to,to,,को
IN,in,in,,में
IS,is,is,,है
THAT,that,that,,वह
IT,it,it,,यह
HE,he,he,,वह
WAS,was,was,,था
FOR,for,for,,के लिए
ON,on,on,,पर
ARE,are,are,,हैं
AS,as,as,,जैसा
WITH,with,with,,साथ
HIS,his,his,,उसका
THEY,they,they,,वे
HAVE,hawe,hawe,,पास होना
FROM,from,from,,से
OR,or,or,,या
ONE,one,one,,एक
HAD,had,had,,था
BY,by,by,,द्वारा
WORD,word,word,,शब्द
BUT,but,but,,लेकिन
NOT,not,not,,नहीं
WHAT,what,what,,क्या
ALL,all,all,,सभी
WERE,were,wxre,,थे
WHEN,when,when,,कब
YOUR,your,your,,आपका
CAN,can,can,,कर सकना
SAID,said,said,,कहा
THERE,there,thxre,,वहाँ
USE,use,use,,उपयोग
EACH,each,each,,प्रत्येक
WHICH,which,which,,कौन
SHE,she,she,,वह
HOW,how,how,,कैसे
THEIR,their,their,,उनका
IF,if,if,,अगर
WILL,will,will,,इच्छा
ABOUT,about,about,,के बारे में
MANY,many,many,,अनेक
THEN,then,then,,तब
THEM,them,them,,उन्हें
THESE,these,these,,इन
SOME,some,some,,कुछ
HER,her,hxr,,उसकी
WOULD,would,would,,चाहेंगे
MAKE,make,make,,बनाना
LIKE,like,like,,पसंद
HIM,him,him,,उसे
INTO,into,into,,में
TIME,time,time,,समय
HAS,has,has,,है
LOOK,look,look,,देखना
TWO,two,two,,दो
MORE,more,more,,अधिक
WRITE,write,write,,लिखना
SEE,see,see,,देखना
NUMBER,number,numbxr,,संख्या
WAY,way,way,,रास्ता
COULD,could,could,,सकना
PEOPLE,people,people,,लोग
THAN,than,than,,बजाय
FIRST,first,first,,पहला
WATER,water,watxr,,पानी
CALL,call,call,,पुकारना
WHO,who,who,,कौन
OIL,oil,oil,,तेल
ITS,its,its,,इसका
NOW,now,now,,अब
FIND,find,find,,खोजो
LONG,long,long,,लंबा
DOWN,down,down,,नीचे
DAY,day,day,,दिन
DID,did,did,,किया
GET,get,get,,पाना
COME,come,come,,आना
MADE,made,made,,बनाया
MAY,may,may,,मई
PART,part,part,,भाग
OVER,ower,owxr,,ऊपर
NEW,new,niyu,,नया
SOUND,sound,sound,,आवाज़
TAKE,take,take,,लेना
ONLY,only,only,,केवल
LITTLE,little,little,,थोड़ा
WORK,work,work,,काम
KNOW,know,know,,जानना
PLACE,place,place,,जगह
YEAR,year,year,,वर्ष
LIVE,liwe,liwe,,रहना
BACK,back,bak,,पीछे
GIVE,giwe,giwe,,देना
MOST,most,most,,अधिकांश
VERY,wery,wxry,,बहुत
AFTER,after,aftxr,,बाद
THING,thing,thing,,चीज़
OUR,our,our,,हमारा
JUST,zust,zust,,अभी
NAME,name,name,,नाम
GOOD,good,good,,अच्छा
SENTENCE,sentence,sentence,,वाक्य
MAN,man,man,,आदमी
THINK,think,think,,सोचना
SAY,say,say,,कहना
GREAT,great,great,,महान
WHERE,where,whxre,,कहाँ
HELP,help,help,,मदद
THROUGH,through,through,,के माध्यम से
MUCH,much,much,,अधिकता
BEFORE,before,before,,पहले
LINE,line,line,,रेखा
RIGHT,right,right,,सही
TOO,too,too,,बहुत
MEAN,mean,mean,,अर्थ
OLD,old,old,,पुराना
ANY,any,any,,कोई
SAME,same,same,,वही
AABBOORRTT,aabboorrtt,aabboorrtt,,AABBOORRTT
AABBSSSELF,aabbssself,aabbssself,,एएबीएसएसएसएलएफ
AACCOOSSHHX,aaccoosshhx,aaccoosshhx,,AACCOOSSHHX
AACCOOSSX,aaccoossx,aaccoossx,,AACCOOSSX
