e52,e23,x38,xv38,vinqi
ACCOUNTANCY,accountancy,akkountansi,,लेखाकर्म
ACCURACY,accuracy,akkurasi,,शुद्धता
ADEQUACY,adekuacy,adekuasi,,पर्याप्तता
ADVOCACY,adwocacy,adwokasi,,वकालत
AGENCY,agency,agensi,,एजेंसी
ARISTOCRACY,aristocracy,aristokrasi,,शिष्टजन
BANKRUPTCY,bankruptcy,bankruptsi,,दिवालियापन
BICYCLE,bicycle,bisikle,,साइकिल
BICYCLES,bicycles,bisikles,,साइकिल
BICYCLING,bicycling,bisikling,,साइकिल से चलना
BICYCLISTS,bicyclists,bisiklists,,साइकिल
BOUNCY,bouncy,bounsi,,उछालभरी
BUREAUCRACY,bureaucracy,bureaukrasi,,नौकरशाही
CANDIDACY,candidacy,kandidasi,,उम्मेदवार
CLANCY,clancy,klansi,,क्लेंसी
COMPETENCY,competency,kompetensi,,योग्यता
COMPLACENCY,complacency,komplasensi,,शालीनता
CONFEDERACY,confederacy,konfederasi,,कंफेडेरसी
CONSERVANCY,conserwancy,konserwansi,,संरक्षण
CONSISTENCY,consistency,konsistensi,,स्थिरता
CONSPIRACY,conspiracy,konspirasi,,षड़यंत्र
CONSTITUENCY,constituency,konstituensi,,निर्वाचन क्षेत्र
CONSULTANCY,consultancy,konsultansi,,कंसल्टेंसी
CONTINGENCY,contingency,kontingensi,,आकस्मिकता
CRYPTOCURRENCY,cryptocurrency,kryptokurrensi,,cryptocurrency
CURRENCY,currency,kurrensi,,मुद्रा
CYANIDE,cyanide,sianide,,साइनाइड
CYBER,cyber,siber,,साइबर
CYBERBULLYING,cyberbullying,siberbullying,,साइबर-धमकी
CYBERCRIME,cybercrime,siberkrime,,साइबर क्राइम
CYBERSECURITY,cybersecurity,sibersekurity,,साइबर सुरक्षा
CYBERSPACE,cyberspace,siberspase,,साइबरस्पेस
CYBORG,cyborg,siborg,,साइबोर्ग
CYCLE,cycle,sikle,,चक्र
CYCLED,cycled,sikled,,साइकिल
CYCLES,cycles,sikles,,चक्र
CYCLICAL,cyclical,siklikal,,चक्रीय
CYCLING,cycling,sikling,,साइकिल चलाना
CYCLIST,cyclist,siklist,,साइकिल-सवार
CYCLISTS,cyclists,siklists,,साइकिल चालकों
CYCLONE,cyclone,siklone,,चक्रवात
CYCLONES,cyclones,siklones,,चक्रवात
CYLINDER,cylinder,silinder,,सिलेंडर
CYLINDERS,cylinders,silinders,,सिलेंडरों
CYLINDRICAL,cylindrical,silindrikal,,बेलनाकार
CYNICAL,cynical,sinikal,,निंदक
CYNICISM,cynicism,sinisism,,कुटिलता
CYNTHIA,cynthia,sinthia,,सिंथिया
CYPRESS,cypress,sipress,,सरो
CYPRIOT,cypriot,sipriot,,साइप्रस
CYPRUS,cyprus,siprus,,साइप्रस
CYRIL,cyril,siril,,साइरिल
CYRUS,cyrus,sirus,,साइरस
CYSTIC,cystic,sistik,,सिस्टिक
CYSTS,cysts,sists,,अल्सर
DARCY,darcy,darsi,,डार्सी
DECENCY,decency,desensi,,शिष्टता
DEFICIENCY,deficiency,defisiensi,,कमी
DELICACY,delicacy,delikasi,,विनम्रता
DELINQUENCY,delinkuency,delinkuensi,,अपराध
DEMOCRACY,democracy,demokrasi,,प्रजातंत्र
DEPENDENCY,dependency,dependensi,,निर्भरता
DIPLOMACY,diplomacy,diplomasi,,कूटनीति
DISCREPANCY,discrepancy,diskrepansi,,विसंगति
DOXYCYCLINE,doxycycline,doxysikline,,डॉक्सीसाइक्लिन
EFFICACY,efficacy,effikasi,,प्रभावकारिता
EFFICIENCY,efficiency,effisiensi,,क्षमता
EMERGENCY,emergency,emergensi,,आपातकाल
ENCYCLOPEDIA,encyclopedia,ensiklopedia,,विश्वकोश
EXCELLENCY,excellency,exsellensi,,मान्यवर
EXPECTANCY,expectancy,expektansi,,उम्मीद
FALLACY,fallacy,fallasi,,हेत्वाभास
FANCY,fancy,fansi,,कल्पना
FLUENCY,fluency,fluensi,,प्रवाह
FREQUENCY,frekuency,frekuensi,,आवृत्ति
IDIOCY,idiocy,idiosi,,मूर्खता
ILLITERACY,illiteracy,illiterasi,,निरक्षरता
IMMEDIACY,immediacy,immediasi,,तुरंत्ता
IMMUNODEFICIENCY,immunodeficiency,immunodefisiensi,,इम्यूनो
INADEQUACY,inadekuacy,inadekuasi,,अनुविता
INCONSISTENCY,inconsistency,inkonsistensi,,बेजोड़ता
INEFFICIENCY,inefficiency,ineffisiensi,,अकुशलता
INFANCY,infancy,infansi,,शैशव
INSOLVENCY,insolwency,insolwensi,,दिवालियापन
INSUFFICIENCY,insufficiency,insuffisiensi,,कमी
INSURGENCY,insurgency,insurgensi,,विद्रोह
INTIMACY,intimacy,intimasi,,आत्मीयता
JUICY,zuicy,zuisi,,रसदार
LATENCY,latency,latensi,,विलंब
LEGACY,legacy,legasi,,परंपरा
LEGITIMACY,legitimacy,legitimasi,,वैधता
LIFECYCLE,lifecycle,lifesikle,,जीवन चक्र
LITERACY,literacy,literasi,,साक्षरता
LUCY,lucy,lusi,,लुसी
LUNACY,lunacy,lunasi,,पागलपन
MACY,macy,masi,,मैसी
MERCY,mercy,mersi,,दया
MOTORCYCLE,motorcycle,motorsikle,,मोटरसाइकिल
MOTORCYCLES,motorcycles,motorsikles,,मोटरसाइकिल
MOTORCYCLISTS,motorcyclists,motorsiklists,,मोटरसाइकिल
NANCY,nancy,nansi,,नैंसी
NORMALCY,normalcy,normalsi,,सामान्य स्थिति
NUMERACY,numeracy,numerasi,,numeracy
OCCUPANCY,occupancy,okkupansi,,अधिभोग
PERCY,percy,persi,,पर्सी
PHARMACY,pharmacy,pharmasi,,फार्मेसी
PIRACY,piracy,pirasi,,चोरी
POLICY,policy,polisi,,नीति
POLICYHOLDER,policyholder,polisiholder,,पॉलिसीधारक
POLICYHOLDERS,policyholders,polisiholders,,पॉलिसीधारकों
POLICYMAKERS,policymakers,polisimakers,,नीति निर्माताओं
POTENCY,potency,potensi,,शक्ति
PREGNANCY,pregnancy,pregnansi,,गर्भावस्था
PRESIDENCY,presidency,presidensi,,प्रेसीडेंसी
PRIVACY,priwacy,priwasi,,गोपनीयता
PROFICIENCY,proficiency,profisiensi,,प्रवीणता
PROPHECY,prophecy,prophesi,,भविष्यवाणी
QUINCY,kuincy,kuinsi,,क्विंसी
RECYCLABLE,recyclable,resiklable,,पुनर्चक्रण
RECYCLABLES,recyclables,resiklables,,पुनरावर्तनीय
RECYCLE,recycle,resikle,,रीसायकल
RECYCLED,recycled,resikled,,पुनर्नवीनीकरण
RECYCLING,recycling,resikling,,पुनर्चक्रण
REDUNDANCY,redundancy,redundansi,,फालतूपन
REGENCY,regency,regensi,,राज-प्रतिनिधि का पद
RELEVANCY,relewancy,relewansi,,प्रासंगिकता
RESIDENCY,residency,residensi,,रेजीडेंसी
RESILIENCY,resiliency,resiliensi,,लचीलाता
SECRECY,secrecy,sekresi,gopniyja,गोपनीयता
SOLVENCY,solwency,solwensi,,करदानक्षमता
SPICY,spicy,spisi,,मसालेदार
STACY,stacy,stasi,,स्टेसी
SUFFICIENCY,sufficiency,suffisiensi,,प्रचुरता
SUPREMACY,supremacy,supremasi,,वर्चस्व
SURROGACY,surrogacy,surrogasi,,सरोगेसी
TENANCY,tenancy,tenansi,,किराये का घर
TENDENCY,tendency,tendensi,,प्रवृत्ति
TRACY,tracy,trasi,,ट्रेसी
TRANSPARENCY,transparency,transparensi,parqrSija,पारदर्शिता
URGENCY,urgency,urgensi,jajkalikja,तात्कालिकता
VACANCY,wacancy,wakansi,rikji,रिक्ति
VIBRANCY,wibrancy,wibransi,kmpxn,कंपन
CHILD,child,caild,bcca,बच्चा
