+,x,a,i,u,e,o,N
x,xx,xa,xi,xu,xe,xo
y,xy,ya,yi,yu,ye,yo
v,xv,va,vi,vu,ve,vo
w,xw,wa,wi,wu,we,wo
l,xl,la,li,lu,le,lo
m,xm,ma,mi,mu,me,mo
n,xn,na,ni,nu,ne,no
r,xr,ra,ri,ru,re,ro
R,xR,Ra,Ri,Ru,Re,Ro
k,xk,ka,ki,ku,ke,ko,Nk
K,xK,Ka,Ki,Ku,Ke,Ko,NK
g,xg,ga,gi,gu,ge,go,Ng
G,xG,Ga,Gi,Gu,Ge,Go,NG
c,xc,ca,ci,cu,ce,co
C,xC,Ca,Ci,Cu,Ce,Co
z,xz,za,zi,zu,ze,zo
Z,xZ,Za,Zi,Zu,Ze,Zo
t,xt,ta,ti,tu,te,to
T,xT,Ta,Ti,Tu,Te,To
d,xd,da,di,du,de,do
D,xD,Da,Di,Du,De,Do
j,xj,ja,ji,ju,je,jo
J,xJ,Ja,Ji,Ju,Je,Jo
q,xq,qa,qi,qu,qe,qo
Q,xQ,Qa,Qi,Qu,Qe,Qo
b,xb,ba,bi,bu,be,bo
B,xB,Ba,Bi,Bu,Be,Bo
s,xs,sa,si,su,se,so
S,xS,Sa,Si,Su,Se,So
p,xp,pa,pi,pu,pe,po
f,xf,fa,fi,fu,fe,fo
