original_word,xnglo_word,e52,e23,x38,status
ate,ext,ATE,ate,ate,Processed_OK
blew,blew,BLEW,blew,bliyu,Processed_OK
bough,baa,BOUGH,bough,bough,Processed_OK
brew,brew,BREW,brew,briyu,Processed_OK
chew,chew,CHEW,chew,chiyu,Processed_OK
day,dey,DAY,day,day,Processed_OK
eight,et,EIGHT,eight,eight,Processed_OK
enough,inxf,ENOUGH,enough,enough,Processed_OK
exact,eksxkt,EXACT,exact,exact,Processed_OK
exam,eksam,EXAM,exam,exam,Processed_OK
exist,eksist,EXIST,exist,exist,Processed_OK
few,few,FEW,few,fiyu,Processed_OK
final,fainxl,FINAL,final,final,Processed_OK
five,faiw,FIVE,fiwe,fiwe,Processed_OK
flew,flew,FLEW,flew,fliyu,Processed_OK
for,for,FOR,for,for,Processed_OK
four,foxr,FOUR,four,four,Processed_OK
grew,grew,GREW,grew,griyu,Processed_OK
honour,vonxr,HONOUR,honour,honour,Processed_OK
hour,vaoxr,HOUR,hour,hour,Processed_OK
instance,instxns,INSTANCE,instance,instance,Processed_OK
never,never,NEVER,nxwxr,nxwxr,Processed_OK
new,new,NEW,new,niyu,Processed_OK
one,wn,ONE,one,one,Processed_OK
rough,rf,ROUGH,rough,rough,Processed_OK
sea,six,SEA,sea,sea,Processed_OK
see,sii,SEE,see,see,Processed_OK
seven,sewxn,SEVEN,sewen,siyuen,Processed_OK
sew,sew,SEW,sew,siyu,Processed_OK
skew,skew,SKEW,skew,skiyu,Processed_OK
stew,stew,STEW,stew,stiyu,Processed_OK
that,qxt,THAT,that,that,Processed_OK
them,qxm,THEM,them,them,Processed_OK
there,qexr,THERE,there,thxre,Processed_OK
they,qey,THEY,they,they,Processed_OK
thieves,Jiiws,THIEVES,thiewes,thiiyues,Processed_OK
this,qis,THIS,this,this,Processed_OK
those,qoz,THOSE,those,those,Processed_OK
though,Jf,THOUGH,though,though,Processed_OK
thought,Jot,THOUGHT,thought,thought,Processed_OK
three,Jri,THREE,three,three,Processed_OK
through,thrf,THROUGH,through,through,Processed_OK
to,tu,TO,to,to,Processed_OK
too,tux,TOO,too,too,Processed_OK
tough,tuugh,TOUGH,tough,tough,Processed_OK
two,tuu,TWO,two,two,Processed_OK
uneven,uneven,UNEVEN,unewen,uniyuen,Processed_OK
vet,wxxt,VET,wet,wet,Processed_OK
view,view,VIEW,wiew,wiiyu,Processed_OK
wave,wew,WAVE,wawe,wawe,Processed_OK
weight,wxt,WEIGHT,weight,weight,Processed_OK
wet,wxt,WET,wet,wet,Processed_OK
whatever,wextver,WHATEVER,whatewer,whatiyuxr,Processed_OK
when,wvn,WHEN,when,when,Processed_OK
whenever,wvnever,WHENEVER,whenewer,wheniyuxr,Processed_OK
where,wevr,WHERE,where,whxre,Processed_OK
wherever,wevrver,WHEREVER,wherewer,whxriyuxr,Processed_OK
whichever,wichever,WHICHEVER,whichewer,whichiyuxr,Processed_OK
whoever,woever,WHOEVER,whoewer,whoiyuxr,Processed_OK
why,wew,WHY,why,why,Processed_OK
