offset,hindi,bengali,gurmukhi,gujarati,oriya,tamil,telugu,kannada,malayalam
0x00,,,,,,,,,
0x01,ँ,ঁ,ਁ,ઁ,ଁ,,ఀ,ಀ,ഀ
0x02,ं,ং,ਂ,ં,ଂ,ஂ,ం,ಂ,ം
0x03,ः,ঃ,ਃ,ઃ,ଃ,ஃ,ః,ಃ,ഃ
0x04,ऄ,,,,,,,,,
0x05,अ,অ,ਅ,અ,ଅ,அ,అ,ಅ,അ
0x06,आ,আ,ਆ,આ,ଆ,ஆ,ఆ,ಆ,ആ
0x07,इ,ই,ਇ,ઇ,ଇ,இ,ఇ,ಇ,ഇ
0x08,ई,ঈ,ਈ,ઈ,ଈ,ஈ,ఈ,ಈ,ഈ
0x09,उ,উ,ਉ,ઉ,ଉ,உ,ఉ,ಉ,ഉ
0x0A,ऊ,ঊ,ਊ,ઊ,ଊ,ஊ,ఊ,ಊ,ഊ
0x0B,ऋ,ঋ,,ઋ,ଋ,,ఋ,ಋ,ഋ
0x0C,ऌ,ঌ,,ઌ,ଌ,,ఌ,ಌ,ഌ
0x0D,ऍ,,,,,,,,
0x0E,ऎ,,,,,,,,
0x0F,ए,এ,ਏ,એ,ଏ,ஏ,ఏ,ಏ,ഏ
0x10,ऐ,ঐ,ਐ,ઐ,ଐ,ஐ,ఐ,ಐ,ഐ
0x11,ऑ,,,,,,,,
0x12,ऒ,,,,,,,,
0x13,ओ,ও,ਓ,ઓ,ଓ,ஓ,ఓ,ಓ,ഓ
0x14,औ,ঔ,ਔ,ઔ,ଔ,ஔ,ఔ,ಔ,ഔ
0x15,क,ক,ਕ,ક,କ,க,క,ಕ,ക
0x16,ख,খ,ਖ,ખ,ଖ,,ఖ,ಖ,ഖ
0x17,ग,গ,ਗ,ગ,ଗ,,గ,ಗ,ഗ
0x18,घ,ঘ,ਘ,ઘ,ଘ,,ఘ,ಘ,ഘ
0x19,ङ,ঙ,ਙ,ઙ,ଙ,ங,ఙ,ಙ,ങ
0x1A,च,চ,ਚ,ચ,ଚ,ச,చ,ಚ,ച
0x1B,छ,ছ,ਛ,છ,ଛ,,ఛ,ಛ,ഛ
0x1C,ज,জ,ਜ,જ,ଜ,ஜ,జ,ಜ,ജ
0x1D,झ,ঝ,ਝ,ઝ,ଝ,,ఝ,ಝ,ഝ
0x1E,ञ,ঞ,ਞ,ઞ,ଞ,ஞ,ఞ,ಞ,ഞ
0x1F,ट,ট,ਟ,ટ,ଟ,ட,ట,ಟ,ട
0x20,ठ,ঠ,ਠ,ઠ,ଠ,,ఠ,ಠ,ഠ
0x21,ड,ড,ਡ,ડ,ଡ,,డ,ಡ,ഡ
